	XP_004038851.3	XP_003832390.1	BAG60658.1	XP_003265777.1	BAF47379.1	XP_031520350.1	XP_007997053.1	XP_007990725.1	XP_004064730.2	BAA04809.1	XP_005594386.3	XP_003262229.2	XP_003819736.1	XP_003918170.2	2N3Y_A	XP_008012095.1	XP_034805654.1	EHH57445.1	XP_030861652.1	XP_009191090.1	XP_030662293.1	XP_030666800.1	XP_009184116.1	XP_037840674.1	XP_014202872.1	XP_045239232.2	XP_055236303.1	8Y6F_A	XP_008002752.1	XP_004050475.2	AAA59179.1	XP_065383852.1	XP_003281399.1	XP_034787832.1	XP_003909425.2	NP_002273.3	XP_003831112.2	XP_030678475.1	XP_018893533.1	XP_005570980.3	XP_008001520.2	XP_003906457.1	AAC17185.1	XP_063556699.1	XP_034798266.3	XP_009187945.3	XP_030656388.1	XP_005582958.3	XP_037843238.1	XP_057156345.1	XP_004058559.3	XP_030656345.1	ABL09846.1	XP_008008385.1	XP_003912321.1	AAB91535.1
XP_004038851.3	0.0	0.01313999999999993	0.02912999999999999	0.026269999999999905	0.06413999999999997	0.0657899999999999	0.06742999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.55	0.55	0.55	1.0	0.55	0.55	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.62069	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003832390.1	0.01313999999999993	0.0	0.03073999999999999	0.02956000000000003	0.0657899999999999	0.06413999999999997	0.06908000000000003	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.67308	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BAG60658.1	0.02912999999999999	0.03073999999999999	0.0	0.04693000000000003	0.08590000000000009	0.08751999999999993	0.08914	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.67308	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003265777.1	0.026269999999999905	0.02956000000000003	0.04693000000000003	0.0	0.07236999999999993	0.07400999999999991	0.06908000000000003	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BAF47379.1	0.06413999999999997	0.0657899999999999	0.08590000000000009	0.07236999999999993	0.0	0.009869999999999934	0.014800000000000035	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_031520350.1	0.0657899999999999	0.06413999999999997	0.08751999999999993	0.07400999999999991	0.009869999999999934	0.0	0.014800000000000035	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_007997053.1	0.06742999999999999	0.06908000000000003	0.08914	0.06908000000000003	0.014800000000000035	0.014800000000000035	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_007990725.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.03022999999999998	0.040240000000000054	0.010669999999999957	0.033199999999999896	0.031420000000000003	0.011260000000000048	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_004064730.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03022999999999998	0.0	0.021299999999999986	0.02964	0.021930000000000005	0.011860000000000093	0.03022999999999998	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
BAA04809.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.040240000000000054	0.021299999999999986	0.0	0.03964000000000001	0.030769999999999964	0.016569999999999974	0.040240000000000054	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
