	albumin-gorilla_gorilla_gorilla	albumin-pan_paniscus	albumin-homo_sapiens	albumin-nomascus_leucogenys	albumin-macaca_fascicularis	albumin-papio_anubis	albumin-chlorocebus_sabaeus	collagen-chlorocebus_sabaeus	collagen-gorilla_gorilla_gorilla	collagen-homo_sapiens	collagen-macaca_fascicularis	collagen-nomascus_leucogenys	collagen-pan_paniscus	collagen-papio_anubis	cytochrome-homo_sapiens	cytochrome-chlorocebus_sabaeus	cytochrome-pan_paniscus	cytochrome-macaca_fascicularis	cytochrome-gorilla_gorilla_gorilla	cytochrome-papio_anubis	cytochrome-nomascus_leucogenys	ferritin-nomascus_leucogenys	ferritin-papio_anubis	ferritin-chlorocebus_sabaeus	ferritin-pan_paniscus	ferritin-macaca_fascicularis	ferritin-gorilla_gorilla_gorilla	ferritin-homo_sapiens	insulin-chlorocebus_sabaeus	insulin-gorilla_gorilla_gorilla	insulin-homo_sapiens	insulin-macaca_fascicularis	insulin-nomascus_leucogenys	insulin-pan_paniscus	insulin-papio_anubis	keratin-homo_sapiens	keratin-pan_paniscus	keratin-nomascus_leucogenys	keratin-gorilla_gorilla_gorilla	keratin-macaca_fascicularis	keratin-chlorocebus_sabaeus	keratin-papio_anubis	myosin-homo_sapiens	myosin-gorilla_gorilla_gorilla	myosin-pan_paniscus	myosin-papio_anubis	myosin-nomascus_leucogenys	myosin-macaca_fascicularis	myosin-chlorocebus_sabaeus	p53-pan_paniscus	p53-gorilla_gorilla_gorilla	p53-nomascus_leucogenys	p53-homo_sapiens	p53-chlorocebus_sabaeus	p53-papio_anubis	p53-macaca_fascicularis
albumin-gorilla_gorilla_gorilla	0.0	0.0131399999999999	0.0291299999999999	0.0262699999999999	0.0641399999999999	0.0657899999999999	0.0674299999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.55	0.55	0.55	1.0	0.55	0.55	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.62069	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-pan_paniscus	0.0131399999999999	0.0	0.0307399999999999	0.02956	0.0657899999999999	0.0641399999999999	0.06908	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.67308	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-homo_sapiens	0.0291299999999999	0.0307399999999999	0.0	0.04693	0.0859	0.0875199999999999	0.08914	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.67308	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-nomascus_leucogenys	0.0262699999999999	0.02956	0.04693	0.0	0.0723699999999999	0.0740099999999999	0.06908	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-macaca_fascicularis	0.0641399999999999	0.0657899999999999	0.0859	0.0723699999999999	0.0	0.0098699999999999	0.0148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-papio_anubis	0.0657899999999999	0.0641399999999999	0.0875199999999999	0.0740099999999999	0.0098699999999999	0.0	0.0148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
albumin-chlorocebus_sabaeus	0.0674299999999999	0.06908	0.08914	0.06908	0.0148	0.0148	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.71429	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0
collagen-chlorocebus_sabaeus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0302299999999999	0.04024	0.0106699999999999	0.0331999999999998	0.03142	0.01126	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
collagen-gorilla_gorilla_gorilla	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0302299999999999	0.0	0.0212999999999999	0.02964	0.02193	0.01186	0.0302299999999999	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
collagen-homo_sapiens	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04024	0.0212999999999999	0.0	0.03964	0.0307699999999999	0.0165699999999999	0.04024	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
